"Enabled","Habilitado"
"Title","Título"
"Submit URL","URL de Envio"
"Print your Boleto","Imprimir Boleto"
"Verify Payment Status","Consultar status do pagamento"
"ORDER NUMBER: %s","NUMERO DO PEDIDO: %s"
"DONT ACCEPT PAYMENT AFTER: %s","NAO RECEBER APOS: %s"
"Query URL","URL de Consulta"
"Code","Código"
"Key","Chave"
"Qty of days to expire","Quantidades de dias para expiração"
"Qty of additional days to expire","Quantidade adicional de dias para expirar"
"Observation 3","Observação adicional"
"Payment from Applicable Countries","Pagamento disponível para os países"
"Payment from Specific Countries","Escolha o país"
"New Order Status","Status de novos pedidos"
"Cancellation Email Template","Template de email de cancelamento"
"Enable Admin Erros Email","Habilitar emails de erros ao admin"
"Sender Name","Nome email"
"Send To","Enviar para o email"
"Sort Order","Ordem de exibição"
"Return URL","URL de Retorno"
"This billet is expired","Este Boleto já expirou"
"This order was canceled","Este pedido foi cancelado."
"Order not found","Pedido não encontrado"
"Print your second Boleto","Imprimir 2ª via do Boleto."
"Street 1","Endereço 1"
"Street 2","Endereço 2"
"Street 3","Endereço 3"
"Street 4","Endereço 4"
"Select...","Selecione..."
"Neighborhood","Bairro"
"Number","Número"
"Street","Rua"
"Complement","Complemento"
"If no option is selected, the default value of the Magento will be used.","Caso nenuma opção for selecionada, a padrão será utilizada."
"Yes","Sim"
"No","Não"
"Enable warnings to administrator references to errors in automatic ticket approval (divergent value and other errors)","Habilitar avisos ao administrador references a erros na aprovação automática dos boletos (valor divergente e outros erros)"
"Holidays map to be added to business days and ticket expiration. The date should be in the 25/12 format for Christmas, for example.","Mapa de feriados para serem adicionados aos dias úteis e expiração do boleto. A data deve ser no formato 25/12 para o Natal, por exemplo."
"Holiday Date","Data do feriado"
"Holiday","Descrição do feriado"
"Holidays","Feriados"
